reviewText,cleaned_text,tokens,sentiment_vader,score_vader,sentiment_textblob,score_textblob,sentiment_nltk,score_nltk,overall_sentiment,average_polarity
"This item is just as was described in the original description, works without any issues to be seen. Good product",this item just as was described original description works without any issues be seen good product,this item just as was described original description works without any issues be seen good product,Positive,0.6369,Positive,0.5375,Positive,0.6369,Positive,0.6037666666666667
bought for a spare for my 9&#34; Nook HD and it fit perfectly.  Very satisfied with the price much less than on the BN site,bought for spare for my 934 nook hd it fit perfectly very satisfied with price much less than on bn site,bought for spare for my 934 nook hd it fit perfectly very satisfied with price much less than on bn site,Positive,0.8687,Positive,0.29444444444444445,Positive,0.8687,Positive,0.6772814814814815
"My son crewed my HD charger cord so I needed another one, this is exactly like the one my son destroyed.",my son crewed my hd charger cord so i needed another one this exactly like one my son destroyed,my_son crewed my hd charger cord so i needed another one this exactly like one_my son destroyed,Negative,-0.1779,Positive,0.25,Negative,-0.1779,Neutral,-0.03526666666666667
"This is a good beefy 2 amp charger, but it covers two outlets on a power strip. It's ok in a regular wall outlet. The best thing is it uses a standard USB connector so it can charge more than just a Nook (I have a Kindle Fire HD+).",this good beefy 2 amp charger but it covers two outlets on power strip its ok regular wall outlet best thing it uses standard usb connector so it can charge more than just nook i have kindle fire hd,this good beefy 2 amp charger but it covers two outlets on power strip its ok regular wall outlet best thing it uses standard usb connector so it can charge more than just nook i have kindle fire hd,Positive,0.8151,Positive,0.41428571428571426,Positive,0.8151,Positive,0.6814952380952382
"I lost my B&N original cable.  I looked around for an new one.  I tried  a different, cheaper model but it didn't fit my device properly so back to the drawing board.  I ordered this one.  I am satisfied.  It works exactly as expected and fits perfectly.  I would recommend this product to anyone looking for a spare or in lieu of the original usb cable adapter.",i lost my bn original cable i looked around for an new one i tried different cheaper model but it didnt fit my device properly so back drawing board i ordered this one i am satisfied it works exactly as expected fits perfectly i would recommend this product anyone looking for spare or lieu original usb cable adapter,i lost my bn original cable i looked around for an new one i tried different cheaper model but it didnt fit my device properly so back drawing board i ordered this one i am satisfied it works exactly as expected fits perfectly i would recommend this product anyone looking for spare or lieu original usb cable adapter,Positive,0.9329,Positive,0.2984848484848485,Positive,0.9329,Positive,0.7214282828282829
"It does 2A and charges a DEAD Nook in a few hours. It does so with a LOT of heat, compared to most wall worts. I have a dual charger where 1 port is 2.1A and the other is 1A for total output of 3.1A that doesn't run as hot as this. And i use that to power a raspberry pi to avoid needing a powered hubIt does the job adequately as it's designed to. Just hot. I would always unplug it if not using (even though it cools off) because of the amount of heat made. The nook hd+ runs hot too right where you hold it on the left side in portrait, but not so much when charging. I guess it's better to have it at the plug.",it does 2a charges dead nook few hours it does so with lot heat compared most wall worts i have dual charger where 1 port 21a other 1a for total output 31a that doesnt run as hot as this i use that power raspberry pi avoid needing powered hubit does job adequately as its designed just hot i would always unplug it not using even though it cools off because amount heat made nook hd runs hot too right where you hold it on left side portrait but not so much when charging i guess its better have it at plug,it does 2a charges dead nook few hours it does so with lot heat compared most wall worts i have dual charger where 1 port 21a other 1a for total output 31a that doesnt run as hot_as this i use that power raspberry pi avoid needing powered hubit does job adequately as its designed just hot_i would always unplug it not using even though it cools off because amount heat made nook hd runs hot_too right where you hold it on left side portrait but not so much when charging i guess its better have it at plug,Neutral,-0.0814,Positive,0.15723443223443226,Neutral,-0.0814,Neutral,-0.0018551892551892473
"Go to Target or Barnes and Noble instead, and pay $25 (which is still a huge markup, considering they make the thing for 50 cents.) This is the worst option if you need one of these. It's price gouging, pure and simple.",go target or barnes noble instead pay 25 which still huge markup considering they make thing for 50 cents this worst option you need one these its price gouging pure simple,go target or barnes noble instead pay 25 which still huge markup considering they make thing for 50 cents this worst option you need one these its price gouging pure simple,Neutral,-0.0516,Neutral,0.04285714285714286,Neutral,-0.0516,Neutral,-0.020114285714285713
"Works well, a little pricey I think for a charging cable, but then again, not losing the original would be a lot cheaper than any replacement",works well little pricey i think for charging cable but again not losing original would be lot cheaper than any replacement,works well little pricey i think for charging cable but again not losing original would be lot cheaper than any replacement,Positive,0.2223,Neutral,0.09375,Positive,0.2223,Positive,0.17945
"This is a great buy, compared to a $60 or more a retail store.",this great buy compared 60 or more retail store,this great buy compared 60 or more retail store,Positive,0.6249,Positive,0.65,Positive,0.6249,Positive,0.6332666666666668
This mount is just what I needed.  It is strong and sturdy.  It folds almost flat to enable the television to sit square and flat against the wall if desired and extends and rotates for angle turns.  A perfect fit as long as you match the correct visa pattern for your television.,this mount just what i needed it strong sturdy it folds almost flat enable television sit square flat against wall desired extends rotates for angle turns perfect fit as long as you match correct visa pattern for your television,this mount just what i needed it strong sturdy it folds almost flat enable television sit square flat against wall desired extends rotates for angle turns perfect fit as long as you match correct visa pattern for your television,Positive,0.9022,Positive,0.28888888888888886,Positive,0.9022,Positive,0.697762962962963
"Great deal, easy to mount and it appears to be fairly sturdy. I mounted a 32 in tv on it and it works great.",great deal easy mount it appears be fairly sturdy i mounted 32 tv on it it works great,great deal easy mount it appears be fairly sturdy i mounted 32 tv on it it works great,Positive,0.9022,Positive,0.6833333333333333,Positive,0.9022,Positive,0.8292444444444445
