userid,mtime,rating_star,comment,tokenized_comment,cleaned_comment
64795675,24/09/2020 22:56,5,"Giao hàng nhanh đồ rẻ đẹp.Bọc đồ rất kĩ nm có mỗi cái hộp nước hoa sáp bị móp,tróc hết sơn ở các cạnh vs lại do móp nên đóng hộp lại vẫn bị hở sợ một tgian bay hết mùi hic","Giao hàng nhanh đồ rẻ đẹp . Bọc_đồ rất kĩ nm có mỗi cái hộp nước_hoa sáp bị móp , tróc hết sơn ở các cạnh vs lại do móp nên đóng_hộp lại vẫn bị hở sợ một tgian bay hết mùi hic","Giao hàng nhanh đồ rẻ đẹp . Bọc_đồ rất kĩ nm mỗi cái hộp nước_hoa sáp bị móp , tróc hết sơn ở các cạnh vs lại do móp đóng_hộp lại vẫn bị hở sợ tgian bay hết mùi hic"
69616559,26/11/2020 11:41,5,Mùi dream unicoin ngọt lắm. Xịt hoa quả giống mùi ii của viêt nam,Mùi dream unicoin ngọt lắm . Xịt hoa_quả giống mùi ii của viêt nam,Mùi dream unicoin ngọt lắm . Xịt hoa_quả giống mùi ii viêt nam
154117669,10/11/2020 20:51,3,"Giao hàng nhanh, tối qua đặt mà sáng hôm sau đã nhận đc. Mùi đào thơm đấy nhg mà dường như nó ko lưu lại mùi Phải xịt kiểu nhiều nhiều thì nó ms lưu lại ít để ngửi đc, còn nếu ko thì như kiểu cho icy đào vào xịt í","Giao hàng nhanh , tối qua đặt mà sáng hôm sau đã nhận đc . Mùi đào thơm đấy nhg mà dường_như nó ko lưu lại mùi Phải xịt kiểu nhiều nhiều thì nó ms lưu lại ít để ngửi đc , còn nếu ko thì như kiểu cho icy đào vào xịt í","Giao hàng nhanh , tối qua đặt sáng hôm sau nhận đc . Mùi đào thơm đấy nhg dường_như nó ko lưu lại mùi Phải xịt kiểu thì nó ms lưu lại ít để ngửi đc , còn ko thì như kiểu cho icy đào vào xịt í"
279439635,15/12/2020 12:53,5,Sản phẩm tốt,Sản_phẩm tốt,Sản_phẩm tốt
31901157,26/10/2020 21:29,5,"Mùi đào thơm dịu ngọt, mùi hoa hồng và lavender thì hơi nồng, để bay bớt thì cũng đỡ hơn","Mùi đào thơm dịu_ngọt , mùi hoa_hồng và lavender thì hơi nồng , để bay bớt thì cũng đỡ hơn","Mùi đào thơm dịu_ngọt , mùi hoa_hồng lavender thì hơi nồng , để bay bớt thì đỡ hơn"
198729322,08/12/2020 19:14,5,Đc của ló,Đc của ló,Đc ló
161364433,23/11/2020 12:39,5,Ai thích mùi đào ngọt thì cứ mua nha khá ok theo mình thấy chỉ hợp vs xịt phòng thôi con xịt body k hợp lắm,Ai thích mùi đào ngọt thì cứ mua nha khá ok theo mình thấy chỉ hợp vs xịt phòng thôi con xịt body k hợp lắm,Ai thích mùi đào ngọt thì cứ mua nha khá ok thấy chỉ hợp vs xịt phòng thôi con xịt body k hợp lắm
226903384,31/10/2020 18:54,5,hàng okee lắm nha shopp kẻ mắt đẹp lâu trôii,hàng okee lắm nha shopp kẻ mắt đẹp lâu trôii,hàng okee lắm nha shopp kẻ mắt đẹp lâu trôii
34678337,28/10/2020 08:40,5,Sẳn phẩm tốt ngoài mong đợi. Nên mua mua ở shop nhiều lần rồi thật sự rất tốt,Sẳn phẩm tốt ngoài mong_đợi . Nên mua mua ở shop nhiều lần rồi thật_sự rất tốt,Sẳn phẩm tốt ngoài mong_đợi . Nên mua mua ở shop lần rồi thật_sự rất tốt
118054304,25/11/2020 21:27,5,hàng rất ok nha mn.rất đáng tiền,hàng rất ok nha mn . rất đáng tiền,hàng rất ok nha mn . rất đáng tiền
42352576,26/10/2020 12:23,5,"Lười chụp ảnh nên để tạm ảnh này lên xịt thơm mình mua hương lavender nma cá nhân mình thấy giống mùi xmen mặt nạ thì chưa dùng nên chưa biết ntn, giao hàng nhanh","Lười chụp ảnh nên để tạm ảnh này lên xịt thơm mình mua hương lavender nma cá_nhân mình thấy giống mùi xmen mặt_nạ thì chưa dùng nên chưa biết ntn , giao hàng nhanh","Lười chụp ảnh để tạm ảnh lên xịt thơm mua hương lavender nma cá_nhân thấy giống mùi xmen mặt_nạ thì dùng biết ntn , giao hàng nhanh"
194004573,17/10/2020 10:19,5,"Mùi này mình không thóch lắm. Nó cứ sao sao ấy. Cũng không giữ được lâu lắm, có chai xịt kia thì khá thơm","Mùi này mình không thóch lắm . Nó cứ sao sao ấy . Cũng không giữ được lâu lắm , có chai xịt kia thì khá thơm","Mùi thóch lắm . Nó cứ sao sao ấy . Cũng giữ lâu lắm , chai xịt kia thì khá thơm"
296723209,09/11/2020 18:50,5,Đóng gói sản phẩm chắc chắn. Mùi chai xịt body thơm.,Đóng_gói sản_phẩm chắc_chắn . Mùi chai xịt body thơm .,Đóng_gói sản_phẩm chắc_chắn . Mùi chai xịt body thơm .
139979567,07/11/2020 22:04,3,"Mùi hơi bị nồng, cứ thấy kì kì sao ấy, hơi khó chịu","Mùi hơi bị nồng , cứ thấy kì kì sao ấy , hơi khó_chịu","Mùi hơi bị nồng , cứ thấy kì kì sao ấy , hơi khó_chịu"
153463472,26/10/2020 18:26,5,Tiếc là ko có sao chứ chất lượng cực lần trc mua thử chai mà ưng lắm nên lần này mua gần chai luôn. Đáng tiền lắm ý.,Tiếc là ko có sao chứ chất_lượng cực lần trc mua thử chai mà ưng lắm nên lần này mua gần chai luôn . Đáng tiền lắm ý .,Tiếc ko sao chứ chất_lượng cực lần trc mua thử chai ưng lắm lần mua gần chai luôn . Đáng tiền lắm ý .
294997671,14/12/2020 20:44,5,Giao nhầm chai đào thành ver,Giao nhầm chai đào thành ver,Giao nhầm chai đào thành ver
324300523,05/11/2020 19:40,5,"Giao hàng nhanh,đủ hàng, và thơm nữa. Theo mình thì mùi pure milk vs the day e met rất thơm còn hite moon hơi nồng xíu","Giao hàng nhanh , đủ hàng , và thơm nữa . Theo mình thì mùi pure milk vs the day e met rất thơm còn hite moon hơi nồng xíu","Giao hàng nhanh , đủ hàng , thơm nữa . Theo thì mùi pure milk vs the day e met rất thơm còn hite moon hơi nồng xíu"
310808390,07/12/2020 12:20,5,Mình dùng xịt phòng. Rất thơm. Chỉ lưu hương đc tiếng. Nên mua,Mình dùng xịt phòng . Rất thơm . Chỉ lưu hương đc tiếng . Nên mua,Mình dùng xịt phòng . Rất thơm . Chỉ lưu hương đc tiếng . Nên mua
298324058,01/12/2020 22:01,5,"Đóng gói tốt, mùi rất thơm","Đóng_gói tốt , mùi rất thơm","Đóng_gói tốt , mùi rất thơm"
74767016,10/10/2020 17:07,5,Y chang mùi trà đào ngoài quán nước dundbduubdnsndbudbuebusubdhusnudbundubudubdxbudbyr,Y chang mùi trà đào ngoài quán nước dundbduubdnsndbudbuebusubdhusnudbundubudubdxbudbyr,Y chang mùi trà đào ngoài quán nước dundbduubdnsndbudbuebusubdhusnudbundubudubdxbudbyr
77094792,05/10/2020 16:43,5,Shhshsggeggehheyyhghgsgsggsgsgsheuhehshsvvxbx shsueiihdgsgagg,Shhshsggeggehheyyhghgsgsggsgsgsheuhehshsvvxbx_shsueiihdgsgagg,Shhshsggeggehheyyhghgsgsggsgsgsheuhehshsvvxbx_shsueiihdgsgagg
204892599,04/12/2020 14:26,5,Trời ơi thích nhất là mùi đào luôn ấyy,Trời_ơi thích nhất là mùi đào luôn ấyy,Trời_ơi thích nhất mùi đào luôn ấyy
56051304,27/11/2020 22:59,5,"Hàng ổnn, thơmm","Hàng ổnn , thơmm","Hàng ổnn , thơmm"
230777631,04/12/2020 19:04,5,"Đóng gói gọn gàng, đẹp, mùi thơm dễ chịu mùi đào","Đóng_gói gọn_gàng , đẹp , mùi thơm dễ_chịu mùi đào","Đóng_gói gọn_gàng , đẹp , mùi thơm dễ_chịu mùi đào"
77461044,24/11/2020 10:04,5,"Thơm cực luôn nè, sẽ mua tiếp, yêu shop thanks shop ạ hihii","Thơm cực luôn nè , sẽ mua tiếp , yêu shop thanks shop ạ hihii","Thơm cực luôn nè , mua tiếp , yêu shop thanks shop ạ hihii"
34678337,04/10/2020 23:08,5,Mùi y như mùi siro đào hay trà đào. Lúc đầu khá nồng về sau thoảng dần. Chưa thử độ cầm h. Chai cầm chắc tay,Mùi y_như mùi siro đào hay trà đào . Lúc đầu khá nồng về sau thoảng dần . Chưa thử độ cầm h . Chai cầm_chắc_tay,Mùi y_như mùi siro đào trà đào . Lúc đầu khá nồng về sau thoảng dần . Chưa thử độ cầm h . Chai cầm_chắc_tay
31901157,19/10/2020 12:05,5,"Xịt thơm lắm, tuy nhiên vì khá rẻ nên cũng không giữ mùi quá lâu đâu","Xịt thơm lắm , tuy_nhiên vì khá rẻ nên cũng không giữ mùi quá lâu đâu","Xịt thơm lắm , tuy_nhiên khá rẻ giữ mùi quá lâu đâu"
118976073,06/12/2020 09:53,5,"Xịt giống mùi kẹo, k thích lắm","Xịt giống mùi kẹo , k thích lắm","Xịt giống mùi kẹo , k thích lắm"
92545435,02/11/2020 02:02,5,Iiyvuebeueibuinebeenibebehii,Iiyvuebeueibuinebeenibebehii,Iiyvuebeueibuinebeenibebehii
316829742,14/10/2020 09:49,4,Mùi noa hơi hắc cũng do tùy mỗi bạn ngửi nhưng mình mua mùi đều không đc thơm ngửi vào hay đau đầu nhưng đóng gói sản phẩm cẩn thẩn mùi cũng lưu hương lâu đc hơn tiếng nếu sịt trong tủ quần áo thì đc hơn hôm đó,Mùi noa hơi hắc cũng do tùy mỗi bạn ngửi nhưng mình mua mùi đều không đc thơm ngửi vào hay đau_đầu nhưng đóng_gói sản_phẩm cẩn thẩn mùi cũng lưu hương lâu đc hơn tiếng nếu sịt trong tủ quần_áo thì đc hơn hôm đó,Mùi noa hơi hắc do tùy mỗi ngửi mua mùi đều đc thơm ngửi vào đau_đầu đóng_gói sản_phẩm cẩn thẩn mùi lưu hương lâu đc hơn tiếng sịt tủ quần_áo thì đc hơn hôm đó
314885901,12/11/2020 18:14,5,"Shop phục vụ tốt cực lun,mùi cũng thơm mà e chọn mùi này hơi hắc ạ mà cũng quá okii rùi","Shop phục_vụ tốt cực lun , mùi cũng thơm mà e chọn mùi này hơi hắc ạ mà cũng quá okii rùi","Shop phục_vụ tốt cực lun , mùi thơm e chọn mùi hơi hắc ạ quá okii rùi"
53526313,23/10/2020 22:28,5,"giao hàng rát nhanh, ngày là có rùi nha. đóng bọc hơi khó tháo nma đúng là cẩn thận nhé. mùi đào nồng lắm nha. hình ảnh mang tc lấy xu hic","giao hàng rát nhanh , ngày là có rùi nha . đóng bọc hơi khó tháo nma đúng là cẩn_thận nhé . mùi đào nồng lắm nha . hình_ảnh mang tc lấy xu hic","giao hàng rát nhanh , ngày rùi nha . đóng bọc hơi khó tháo nma đúng cẩn_thận nhé . mùi đào nồng lắm nha . hình_ảnh mang tc lấy xu hic"
61075996,18/10/2020 16:05,5,"Chai xinh, thơm, mùi ngọt dã man. Sẽ ủng hộ shop tiếp","Chai xinh , thơm , mùi ngọt dã_man . Sẽ ủng_hộ shop tiếp","Chai xinh , thơm , mùi ngọt dã_man . Sẽ ủng_hộ shop tiếp"
262982721,27/11/2020 20:45,5,"uii mn ơi mua đii thơm lắm ýyy mùi không hắc đâuu, lại còn rẻ nữa hmuhmu.","uii mn ơi mua đii thơm lắm ýyy mùi không hắc đâuu , lại còn rẻ nữa hmuhmu .","uii mn ơi mua đii thơm lắm ýyy mùi hắc đâuu , lại còn rẻ nữa hmuhmu ."
290112632,30/11/2020 12:26,5,Mùi đào thơm nhẹ nhàng lắm mn,Mùi đào thơm nhẹ_nhàng lắm mn,Mùi đào thơm nhẹ_nhàng lắm mn
72709147,20/10/2020 14:50,5,"Giao hàng cũng khá nhanh, được tặng đồ buộc tóc cute nữa, nước hoa thơm quá trời luôn, xịt phòng thơm ngát mùi đào, ngửi cái muốn uống trà đào luôn ấy, kem dưỡng tay chưa dùng chưa biết nhaa","Giao hàng cũng khá nhanh , được tặng đồ buộc tóc cute nữa , nước_hoa thơm quá trời luôn , xịt phòng thơm_ngát mùi đào , ngửi cái muốn uống trà đào luôn ấy , kem dưỡng tay chưa dùng chưa biết nhaa","Giao hàng khá nhanh , tặng đồ buộc tóc cute nữa , nước_hoa thơm quá trời luôn , xịt phòng thơm_ngát mùi đào , ngửi cái muốn uống trà đào luôn ấy , kem dưỡng tay dùng biết nhaa"
159966282,04/11/2020 13:33,5,chai peach body mùi cồn hơi ghê. Còn shimang thì thơm hơn nhiều. Shop còn tặng cho dây buộc tóc,chai peach body mùi cồn hơi ghê . Còn shimang thì thơm hơn nhiều . Shop còn tặng cho dây buộc tóc,chai peach body mùi cồn hơi ghê . Còn shimang thì thơm hơn . Shop còn tặng cho dây buộc tóc
268114109,06/11/2020 16:26,5,"Mua lần rồi, vs mình mùi thơm ko quá hắc, Lần sau sẽ thử những mùi khá. ps bt gặp a shipper cute thích vl","Mua lần rồi , vs mình mùi thơm ko quá hắc , Lần sau sẽ thử những mùi khá . ps bt gặp a shipper cute thích vl","Mua lần rồi , vs mùi thơm ko quá hắc , Lần sau thử những mùi khá . ps bt gặp a shipper cute thích vl"
38458904,10/11/2020 10:35,5,Ko bt mùi hoa hồng như nào nhưng mùi hoa oải hương rất thơm ko nồng.tán nhanh chỉ thơm thoang thoảng mình rất thích,Ko bt mùi hoa_hồng như nào nhưng mùi hoa oải hương rất thơm ko nồng . tán nhanh chỉ thơm thoang_thoảng mình rất thích,Ko bt mùi hoa_hồng như mùi hoa oải hương rất thơm ko nồng . tán nhanh chỉ thơm thoang_thoảng rất thích
285552678,12/12/2020 18:14,5,Mùi thơm dễ chịu,Mùi thơm dễ_chịu,Mùi thơm dễ_chịu
99965212,01/12/2020 16:17,3,Gói hàng không cẩn thận đổ hết nửa chai,Gói hàng không cẩn_thận đổ hết nửa chai,Gói hàng cẩn_thận đổ hết nửa chai
276516659,12/11/2020 16:32,5,"Mùi được cũng ko gọi là thơm lắm nhưng nhỏ hơn so với tưởng tượng, hàng đóng gói kĩ giao hàng nhanh hợp với giá tiền.","Mùi được cũng ko gọi là thơm lắm nhưng nhỏ hơn so với tưởng_tượng , hàng đóng_gói kĩ giao hàng nhanh hợp với giá tiền .","Mùi ko gọi thơm lắm nhỏ hơn so tưởng_tượng , hàng đóng_gói kĩ giao hàng nhanh hợp giá tiền ."
82623794,23/09/2020 13:41,4,"Hàng về nhanh, hàng gói chắc chắn, tuy nhiên e đặt giấy thấm dầu trà xanh green tea, shop lại giao bạc hà peppermint. Lần này có hơi buồn vì shop giao sai mong shop lần sau cẩn thận hơn chút ạ","Hàng về nhanh , hàng gói chắc_chắn , tuy_nhiên e đặt giấy_thấm dầu trà xanh green tea , shop lại giao bạc_hà peppermint . Lần này có hơi buồn vì shop giao sai mong shop lần sau cẩn_thận hơn chút ạ","Hàng về nhanh , hàng gói chắc_chắn , tuy_nhiên e đặt giấy_thấm dầu trà xanh green tea , shop lại giao bạc_hà peppermint . Lần hơi buồn shop giao sai mong shop lần sau cẩn_thận hơn chút ạ"
285888255,29/11/2020 20:41,5,Chai body mist đào thơm còn chai Tokyo hôi khó chịu.,Chai body mist đào thơm còn chai Tokyo hôi khó_chịu .,Chai body mist đào thơm còn chai Tokyo hôi khó_chịu .
309855650,08/11/2020 19:10,5,Mùi thơm cưng xỉu luôn,Mùi thơm cưng xỉu luôn,Mùi thơm cưng xỉu luôn
172680512,09/10/2020 22:50,5,"Mùi thơm nhẹ khá là được, ổn mà giá tiền cũng không quá đắt, phù hợp cho các bạn dùng đi học hay đi chơi với bạn bè","Mùi thơm nhẹ khá là được , ổn mà giá tiền cũng không quá đắt , phù_hợp cho các bạn dùng đi học hay đi chơi với bạn_bè","Mùi thơm nhẹ khá , ổn giá tiền quá đắt , phù_hợp cho các dùng đi học đi chơi bạn_bè"
49997490,11/11/2020 21:23,5,Mùi hoa hồng không thích lắm,Mùi hoa_hồng không thích lắm,Mùi hoa_hồng thích lắm
50662745,11/11/2020 17:25,5,"Do não cá vàng nên quên béng mất đánh giá sản phẩm, shop đóng gói cẩn thận, còn tặng kèm dây buộc tóc xinh xinh, shipper giao hàng nhanh","Do não cá_vàng nên quên_béng mất đánh_giá sản_phẩm , shop đóng_gói cẩn_thận , còn tặng kèm dây buộc tóc xinh_xinh , shipper giao hàng nhanh","Do não cá_vàng quên_béng mất đánh_giá sản_phẩm , shop đóng_gói cẩn_thận , còn tặng kèm dây buộc tóc xinh_xinh , shipper giao hàng nhanh"
37028302,24/10/2020 13:50,5,"Hương hoa hồng ngửi hơi khó chịu ạ, k có mùi hoa hồng lắm mà nó hóa học quá. Còn mùi lavender thì siêu thơm nè","Hương_hoa_hồng ngửi hơi khó_chịu ạ , k có mùi hoa_hồng lắm mà nó hóa học quá . Còn mùi lavender thì siêu thơm nè","Hương_hoa_hồng ngửi hơi khó_chịu ạ , k mùi hoa_hồng lắm nó hóa học quá . Còn mùi lavender thì siêu thơm nè"
179933686,11/10/2020 22:44,5,Chai xịt thơm mùi vừa phải không bị nồng giá rẻ giao hàng nhanh,Chai xịt thơm mùi vừa phải không bị nồng giá rẻ giao hàng nhanh,Chai xịt thơm mùi phải bị nồng giá rẻ giao hàng nhanh
148895828,10/11/2020 18:51,5,Giống với mô tả Xinh lắm ạ mình rất thích sẽ tiếp tục ủng hộ shop,Giống với mô_tả Xinh lắm ạ mình rất thích sẽ tiếp_tục ủng_hộ shop,Giống mô_tả Xinh lắm ạ rất thích tiếp_tục ủng_hộ shop
74540358,08/10/2020 11:33,5,"Đóng gói rất kỹ lưỡng, rất hài lòng về sản phẩm bên shop","Đóng_gói rất kỹ_lưỡng , rất hài_lòng về sản_phẩm bên shop","Đóng_gói rất kỹ_lưỡng , rất hài_lòng về sản_phẩm bên shop"
59831153,08/10/2020 12:47,5,Mùi lúc đầu nồng và gắt lại giồng mấy chai nước hoa bth mình hay mua. Sau lúc thì còn lại mùi thoang thoảng dịu nhẹ khá thích nhưng mùi lavender thì k rõ ràng lắm,Mùi lúc đầu nồng và gắt lại giồng mấy chai nước_hoa bth mình hay mua . Sau lúc thì còn lại mùi thoang_thoảng dịu nhẹ khá thích nhưng mùi lavender thì k rõ_ràng lắm,Mùi đầu nồng gắt lại giồng mấy chai nước_hoa bth mua . Sau thì còn lại mùi thoang_thoảng dịu nhẹ khá thích mùi lavender thì k rõ_ràng lắm
166109852,11/10/2020 15:18,5,Tìm cạ mua chung gương tai mèo. Có hai màu. Hồng. Trắng. Giá gốc kc e cần bạn mua chung rồi chia ship nhaa,Tìm cạ mua chung gương tai mèo . Có hai màu . Hồng . Trắng . Giá gốc kc e cần bạn mua chung rồi chia ship nhaa,Tìm cạ mua chung gương tai mèo . Có hai màu . Hồng . Trắng . Giá gốc kc e cần mua chung rồi chia ship nhaa
263234516,29/11/2020 13:00,4,"Giao hàng nhanh, đóng gói cẩn thận mùi hương cực kì thơm","Giao hàng nhanh , đóng_gói cẩn_thận mùi hương cực_kì thơm","Giao hàng nhanh , đóng_gói cẩn_thận mùi hương cực_kì thơm"
46219917,11/11/2020 16:46,5,"Mùi thơm nhẹ, không nồng, oke lắm nha","Mùi thơm nhẹ , không nồng , oke lắm nha","Mùi thơm nhẹ , nồng , oke lắm nha"
102309909,09/11/2020 22:46,5,aakaakakakkakakaakakakkaakakkakakkakakakakaakakakakakakkaakkakakakakakaka,aakaakakakkakakaakakakkaakakkakakkakakakakaakakakakakakkaakkakakakakakaka,aakaakakakkakakaakakakkaakakkakakkakakakakaakakakakakakkaakkakakakakakaka
175218870,01/11/2020 07:57,5,Tuyệt vời bán cakcmdnqknxcnanxbah cncakxndnddnxnxnnxbcns,Tuyệt_vời bán cakcmdnqknxcnanxbah cncakxndnddnxnxnnxbcns,Tuyệt_vời bán cakcmdnqknxcnanxbah cncakxndnddnxnxnnxbcns
28482147,29/09/2020 20:43,5,Chất lượng sản phẩm tuyệt vời. Đóng gói sản phẩm đẹp và chắc chắn.,Chất_lượng sản_phẩm tuyệt_vời . Đóng_gói sản_phẩm đẹp và chắc_chắn .,Chất_lượng sản_phẩm tuyệt_vời . Đóng_gói sản_phẩm đẹp chắc_chắn .
111096906,09/11/2020 09:25,5,Mùi đào.tuy nhiên thì mùi này mình cũng ko đc thích lắm,Mùi đào . tuy_nhiên thì mùi này mình cũng ko đc thích lắm,Mùi đào . tuy_nhiên thì mùi ko đc thích lắm
129540393,01/12/2020 16:50,3,Mùi đào khó gửi lắm,Mùi đào khó gửi lắm,Mùi đào khó gửi lắm
54102165,17/09/2020 17:41,5,"Chua dung neen chua biet,đc tặng kèm gói màu hồng kia kb là, nt là túi thơm","Chua dung neen chua biet , đc tặng kèm gói màu hồng kia kb là , nt là túi thơm","Chua dung neen chua biet , đc tặng kèm gói màu hồng kia kb , nt túi thơm"
52669488,30/08/2020 11:09,5,Gọi điện kêu hết hàng muốn đổi thành mùi bưởi nhưng mà vẫn giao mùi đào D cám ơn shop đã cố gắng nhé.,Gọi điện kêu hết hàng muốn đổi thành mùi bưởi nhưng mà vẫn giao mùi đào D cám_ơn shop đã cố_gắng nhé .,Gọi điện kêu hết hàng muốn đổi thành mùi bưởi vẫn giao mùi đào D cám_ơn shop cố_gắng nhé .
131390446,12/11/2020 21:49,5,"Hương hoa hồng thì thơm lâu nhưng hơi gắt, còn hương đào thì thơm ngọt như lại kh bám mùi lâu","Hương_hoa_hồng thì thơm lâu nhưng hơi gắt , còn hương đào thì thơm ngọt như lại kh bám mùi lâu","Hương_hoa_hồng thì thơm lâu hơi gắt , còn hương đào thì thơm ngọt như lại kh bám mùi lâu"
204848308,24/11/2020 16:08,3,mik thấy hương lavender như mùi của nam í ko ưng í lắm còn mùi đào cx tạm tạm,mik thấy hương lavender như mùi của nam í ko ưng í lắm còn mùi đào cx tạm tạm,mik thấy hương lavender như mùi nam í ko ưng í lắm còn mùi đào cx tạm tạm
252532789,04/10/2020 19:35,5,"Đồ về được đóng gói cẩn thận lắm ạ. Hàng xinh xắn, chưa dùng nên chưa biết chất lượng sao. Còn được tặng quà nho nhỏ","Đồ về được đóng_gói cẩn_thận lắm ạ . Hàng xinh_xắn , chưa dùng nên chưa biết chất_lượng sao . Còn được tặng quà nho_nhỏ","Đồ về đóng_gói cẩn_thận lắm ạ . Hàng xinh_xắn , dùng biết chất_lượng sao . Còn tặng quà nho_nhỏ"
49997490,06/11/2020 10:31,5,Mùi đào cực thơm,Mùi đào cực thơm,Mùi đào cực thơm
5642739,13/08/2020 10:22,5,"Đã nhận dc hàng, nhưng biết chất lượng thế nào. Nhờ ng nhận dùm, hàng giao nhanh, giá rẻ hơn chỗ khác.","Đã nhận dc hàng , nhưng biết chất_lượng thế_nào . Nhờ ng nhận dùm , hàng giao nhanh , giá rẻ hơn chỗ khác .","Đã nhận dc hàng , biết chất_lượng thế_nào . Nhờ ng nhận dùm , hàng giao nhanh , giá rẻ hơn chỗ khác ."
